"plan_opt","code","prem20_total","prem21_total","prem21_gov","prem21_empl","prem21_increase","prem20_monthly_total","prem21_monthly_total","prem21_monthly_gov","prem21_monthly_empl","prem21_monthly_increase"
"Rhode Island UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"South Carolina Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"South Carolina Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"South Carolina Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"South Carolina Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"South Carolina Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"South Carolina Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"South Carolina Aetna HealthFund CDHP and Aetna Value Plan - Value Self","JS4","495.45",505.19,241.58,263.61,"3.93","1073.48",1094.58,523.42,571.16,"8.52"
"South Carolina Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","JS5","1131.04",1153.29,562.25,591.04,"6.47","2450.59",2498.8,1218.21,1280.59,"14.02"
"South Carolina Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","JS6","1119.8399999999999",1141.88,517.46,624.42,"8.6999999999999993","2426.3200000000002",2474.07,1121.16,1352.91,"18.850000000000001"
"South Carolina Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","JS1","463.38",466.12,241.58,224.54,"-3.07","1003.99",1009.93,523.42,486.51,"-6.64"
"South Carolina Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","JS2","1056.3",1062.53,562.25,500.28,"-9.5500000000000007","2288.65",2302.15,1218.21,1083.94,"-20.69"
"South Carolina Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","JS3","1045.8399999999999",1052,517.46,534.54,"-7.18","2265.9899999999998",2279.33,1121.16,1158.17,"-15.56"
"South Carolina Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"South Carolina Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"South Carolina Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"South Carolina UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self","Y51","New Plan",190.03,142.52,47.51,"New Plan","New Plan",411.73,308.8,102.93,"New Plan"
"South Carolina UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self & Family","Y52","New Plan",503.57,377.68,125.89,"New Plan","New Plan",1091.07,818.3,272.77,"New Plan"
"South Carolina UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"South Dakota Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"South Dakota Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"South Dakota Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"South Dakota Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"South Dakota Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"South Dakota Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"South Dakota Aetna HealthFund CDHP and Aetna Value Plan - Value Self","G54","328.95",330.94,241.58,89.36,"-3.82","712.73",717.04,523.42,193.62,"-8.27"
"South Dakota Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","G55","753.4",757.97,562.25,195.72,"-11.21","1632.37",1642.27,1218.21,424.06,"-24.29"
"South Dakota Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","G56","738.63",743.12,517.46,225.66,"-8.85","1600.37",1610.09,1121.16,488.93,"-19.18"
"South Dakota Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","G51","417.46",488.66,241.58,247.08,"65.39","904.5",1058.76,523.42,535.34,"141.68"
"South Dakota Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","G52","952.2",1114.65,562.25,552.4,"146.66999999999999","2063.1",2415.08,1218.21,1196.87,"317.79000000000002"
"South Dakota Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","G53","942.79",1103.63,517.46,586.17,"147.5","2042.71",2391.2,1121.16,1270.04,"319.58999999999997"
"South Dakota Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"South Dakota Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"South Dakota Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"South Dakota HealthPartners - Standard Self","V34","212.27",235.11,176.33,58.78,"5.71","459.92",509.41,382.06,127.35,"12.37"
"South Dakota HealthPartners - Standard Self & Family","V35","517.11",572.74,429.56,143.18,"13.9","1120.4100000000001",1240.94,930.71,310.23,"30.13"
"South Dakota HealthPartners - Standard Self Plus One","V36","469.13",519.6,389.7,129.9,"12.62","1016.45",1125.8,844.35,281.45,"27.34"
"South Dakota HealthPartners - High Self","V31","328.76",308.34,231.26,77.08,"-15.91","712.31",668.07,501.05,167.02,"-34.450000000000003"
"South Dakota HealthPartners - High Self & Family","V32","800.86",751.1,562.25,188.85,"-65.540000000000006","1735.2",1627.38,1218.21,409.17,"-142.01"
"South Dakota HealthPartners - High Self Plus One","V33","726.56",681.42,511.07,170.35,"-52.09","1574.21",1476.41,1107.31,369.1,"-112.85"
"South Dakota UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self","Y51","New Plan",190.03,142.52,47.51,"New Plan","New Plan",411.73,308.8,102.93,"New Plan"
"South Dakota UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self & Family","Y52","New Plan",503.57,377.68,125.89,"New Plan","New Plan",1091.07,818.3,272.77,"New Plan"
"South Dakota UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"Tennessee Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Tennessee Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Tennessee Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Tennessee Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Tennessee Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Tennessee Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Tennessee Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","F51","382.72",393.11,241.58,151.53,"4.58","829.23",851.74,523.42,328.32,"9.93"
"Tennessee Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","F52","872.64",896.32,562.25,334.07,"7.9","1890.72",1942.03,1218.21,723.82,"17.12"
"Tennessee Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","F53","864",887.45,517.46,369.99,"10.11","1872",1922.81,1121.16,801.65,"21.91"
"Tennessee Aetna HealthFund CDHP and Aetna Value Plan - Value Self","F54","378.45",379.3,241.58,137.72,"-4.96","819.98",821.82,523.42,298.4,"-10.74"
"Tennessee Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","F55","866.59",868.56,562.25,306.31,"-13.81","1877.61",1881.88,1218.21,663.67,"-29.92"
"Tennessee Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","F56","849.59",851.52,517.46,334.06,"-11.41","1840.78",1844.96,1121.16,723.8,"-24.72"
"Tennessee Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Tennessee Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Tennessee Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Tennessee Humana CoverageFirst and Humana Value Plan - CDHP Self","TT1","343.99",364.62,241.58,123.04,"14.82","745.31",790.01,523.42,266.59,"32.119999999999997"
"Tennessee Humana CoverageFirst and Humana Value Plan - CDHP Self & Family","TT2","773.99",820.42,562.25,258.17,"30.65","1676.98",1777.58,1218.21,559.37,"66.41"
"Tennessee Humana CoverageFirst and Humana Value Plan - CDHP Self Plus One","TT3","739.59",783.96,517.46,266.5,"31.03","1602.45",1698.58,1121.16,577.42,"67.23"
"Tennessee Humana CoverageFirst and Humana Value Plan - Value Self","TT4","315.20999999999998",334.12,241.58,92.54,"13.1","682.96",723.93,523.42,200.51,"28.39"
"Tennessee Humana CoverageFirst and Humana Value Plan - Value Self & Family","TT5","709.21",751.75,562.25,189.5,"12.2","1536.62",1628.79,1218.21,410.58,"26.43"
"Tennessee Humana CoverageFirst and Humana Value Plan - Value Self Plus One","TT6","677.68",718.35,517.46,200.89,"27.33","1468.31",1556.43,1121.16,435.27,"59.22"
"Tennessee Humana Health Plan, Inc. - High Self","GJ1","542.66999999999996",564.38,241.58,322.8,"15.9","1175.79",1222.82,523.42,699.4,"34.450000000000003"
"Tennessee Humana Health Plan, Inc. - High Self & Family","GJ2","1220.97",1269.81,562.25,707.56,"33.06","2645.44",2751.26,1218.21,1533.05,"71.63"
"Tennessee Humana Health Plan, Inc. - High Self Plus One","GJ3","1166.7",1213.37,517.46,695.91,"33.33","2527.85",2628.97,1121.16,1507.81,"72.22"
"Tennessee Humana Health Plan, Inc. - Standard Self","GJ4","401.6",417.65,241.58,176.07,"10.24","870.13",904.91,523.42,381.49,"22.2"
"Tennessee Humana Health Plan, Inc. - Standard Self & Family","GJ5","903.59",939.73,562.25,377.48,"20.36","1957.78",2036.08,1218.21,817.87,"44.11"
"Tennessee Humana Health Plan, Inc. - Standard Self Plus One","GJ6","863.43",897.97,517.46,380.51,"21.2","1870.77",1945.6,1121.16,824.44,"45.93"
"Tennessee UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self","AS1","242.68",276.68,207.51,69.17,"8.5","525.80999999999995",599.47,449.6,149.87,"18.420000000000002"
"Tennessee UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self & Family","AS2","573.86",654.35,490.76,163.59,"20.13","1243.3599999999999",1417.76,1063.32,354.44,"43.6"
"Tennessee UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self Plus One","AS3","521.73",594.87,446.15,148.72,"18.29","1130.42",1288.89,966.67,322.22,"39.619999999999997"
"Tennessee UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self","LS1","209.88",224.24,168.18,56.06,"3.59","454.74",485.85,364.39,121.46,"7.78"
"Tennessee UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self & Family","LS2","482.73",515.77,386.83,128.94,"8.26","1045.92",1117.5,838.13,279.37,"17.89"
"Tennessee UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self Plus One","LS3","451.25",482.12,361.59,120.53,"7.72","977.71",1044.59,783.44,261.15,"16.72"
"Tennessee UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self","KK1","329.48",354.94,241.58,113.36,"19.649999999999999","713.87",769.04,523.42,245.62,"42.59"
"Tennessee UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self & Family","KK2","823.71",887.37,562.25,325.12,"47.88","1784.71",1922.64,1218.21,704.43,"103.74"
"Tennessee UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self Plus One","KK3","708.4",763.14,517.46,245.68,"41.4","1534.87",1653.47,1121.16,532.31,"89.7"
"Tennessee UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self","Y81","233.88",266.18,199.64,66.54,"8.07","506.74",576.72,432.54,144.18,"17.5"
"Tennessee UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self & Family","Y82","553.03",629.51,472.13,157.38,"19.12","1198.23",1363.94,1022.96,340.98,"41.42"
"Tennessee UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self Plus One","Y83","502.79",572.28,429.21,143.07,"17.37","1089.3800000000001",1239.94,929.96,309.98,"37.64"
"Tennessee UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self","Y51","New Plan",190.03,142.52,47.51,"New Plan","New Plan",411.73,308.8,102.93,"New Plan"
"Tennessee UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self & Family","Y52","New Plan",503.57,377.68,125.89,"New Plan","New Plan",1091.07,818.3,272.77,"New Plan"
"Tennessee UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"Texas Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Texas Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Texas Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Texas Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Texas Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Texas Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Texas Aetna HealthFund CDHP and Aetna Value Plan - Value Self","JS4","495.45",505.19,241.58,263.61,"3.93","1073.48",1094.58,523.42,571.16,"8.52"
"Texas Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","JS5","1131.04",1153.29,562.25,591.04,"6.47","2450.59",2498.8,1218.21,1280.59,"14.02"
"Texas Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","JS6","1119.8399999999999",1141.88,517.46,624.42,"8.6999999999999993","2426.3200000000002",2474.07,1121.16,1352.91,"18.850000000000001"
"Texas Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","JS1","463.38",466.12,241.58,224.54,"-3.07","1003.99",1009.93,523.42,486.51,"-6.64"
"Texas Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","JS2","1056.3",1062.53,562.25,500.28,"-9.5500000000000007","2288.65",2302.15,1218.21,1083.94,"-20.69"
"Texas Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","JS3","1045.8399999999999",1052,517.46,534.54,"-7.18","2265.9899999999998",2279.33,1121.16,1158.17,"-15.56"
"Texas Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Texas Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Texas Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Texas Humana CoverageFirst and Humana Value Plan - Value Self","T34","243.77",260.82,195.62,65.2,"4.26","528.16999999999996",565.11,423.83,141.28,"9.24"
"Texas Humana CoverageFirst and Humana Value Plan - Value Self & Family","T35","548.46",586.86,440.15,146.71,"9.6","1188.33",1271.53,953.65,317.88,"20.8"
"Texas Humana CoverageFirst and Humana Value Plan - Value Self Plus One","T36","524.09",560.78,420.59,140.19,"9.17","1135.53",1215.02,911.27,303.75,"19.87"
"Texas Humana CoverageFirst and Humana Value Plan - CDHP Self","T31","350.19",374.71,241.58,133.13,"18.71","758.75",811.87,523.42,288.45,"40.54"
"Texas Humana CoverageFirst and Humana Value Plan - CDHP Self & Family","T32","787.92",843.08,562.25,280.83,"39.380000000000003","1707.16",1826.67,1218.21,608.46,"85.32"
"Texas Humana CoverageFirst and Humana Value Plan - CDHP Self Plus One","T33","752.92",805.62,517.46,288.16,"39.36","1631.33",1745.51,1121.16,624.35,"85.28"
"Texas Humana CoverageFirst and Humana Value Plan - CDHP Self","TV1","388.63",419.72,241.58,178.14,"25.28","842.03",909.39,523.42,385.97,"54.78"
"Texas Humana CoverageFirst and Humana Value Plan - CDHP Self & Family","TV2","874.43",944.38,562.25,382.13,"54.17","1894.6",2046.16,1218.21,827.95,"117.37"
"Texas Humana CoverageFirst and Humana Value Plan - CDHP Self Plus One","TV3","835.57",902.42,517.46,384.96,"53.51","1810.4",1955.24,1121.16,834.08,"115.94"
"Texas Humana CoverageFirst and Humana Value Plan - Value Self","TV4","307.38",331.97,241.58,90.39,"13.55","665.99",719.27,523.42,195.85,"29.35"
"Texas Humana CoverageFirst and Humana Value Plan - Value Self & Family","TV5","691.62",746.95,560.21,186.74,"13.84","1498.51",1618.39,1213.79,404.6,"29.97"
"Texas Humana CoverageFirst and Humana Value Plan - Value Self Plus One","TV6","660.89",713.76,517.46,196.3,"31.08","1431.93",1546.48,1121.16,425.32,"67.34"
"Texas Humana CoverageFirst and Humana Value Plan - Value Self","TU4","243.56",277.21,207.91,69.3,"8.41","527.71",600.62,450.47,150.15,"18.22"
"Texas Humana CoverageFirst and Humana Value Plan - Value Self & Family","TU5","548.02",623.73,467.8,155.93,"18.93","1187.3800000000001",1351.42,1013.57,337.85,"41.01"
"Texas Humana CoverageFirst and Humana Value Plan - Value Self Plus One","TU6","523.66999999999996",596.02,447.02,149,"18.079999999999998","1134.6199999999999",1291.38,968.54,322.84,"39.19"
"Texas Humana CoverageFirst and Humana Value Plan - CDHP Self","TU1","298.05",336.8,241.58,95.22,"20.71","645.78",729.73,523.42,206.31,"44.87"
"Texas Humana CoverageFirst and Humana Value Plan - CDHP Self & Family","TU2","670.62",757.81,562.25,195.56,"27.91","1453.01",1641.92,1218.21,423.71,"60.46"
"Texas Humana CoverageFirst and Humana Value Plan - CDHP Self Plus One","TU3","640.82000000000005",724.12,517.46,206.66,"46.46","1388.44",1568.93,1121.16,447.77,"100.66"
"Texas Humana CoverageFirst and Humana Value Plan - CDHP Self","TP1","333.05",356.37,241.58,114.79,"17.510000000000002","721.61",772.14,523.42,248.72,"37.950000000000003"
"Texas Humana CoverageFirst and Humana Value Plan - CDHP Self & Family","TP2","749.36",801.82,562.25,239.57,"36.68","1623.61",1737.28,1218.21,519.07,"79.48"
"Texas Humana CoverageFirst and Humana Value Plan - CDHP Self Plus One","TP3","716.07",766.19,517.46,248.73,"36.78","1551.49",1660.08,1121.16,538.92,"79.69"
"Texas Humana CoverageFirst and Humana Value Plan - Value Self","TP4","195.17",208.83,156.62,52.21,"3.42","422.87",452.47,339.35,113.12,"7.4"
"Texas Humana CoverageFirst and Humana Value Plan - Value Self & Family","TP5","439.13",469.87,352.4,117.47,"7.69","951.45",1018.05,763.54,254.51,"16.649999999999999"
"Texas Humana CoverageFirst and Humana Value Plan - Value Self Plus One","TP6","419.62",448.99,336.74,112.25,"7.35","909.18",972.81,729.61,243.2,"15.91"
"Texas Humana Health Plan of Texas - Standard Self","UC4","387.63",414.76,241.58,173.18,"21.32","839.87",898.65,523.42,375.23,"46.2"
"Texas Humana Health Plan of Texas - Standard Self & Family","UC5","872.15",933.21,562.25,370.96,"45.28","1889.66",2021.96,1218.21,803.75,"98.11"
"Texas Humana Health Plan of Texas - Standard Self Plus One","UC6","833.39",891.73,517.46,374.27,"45","1805.68",1932.08,1121.16,810.92,"97.5"
"Texas Humana Health Plan of Texas - High Self","UC1","505.51",540.9,241.58,299.32,"29.58","1095.27",1171.95,523.42,648.53,"64.099999999999994"
"Texas Humana Health Plan of Texas - High Self & Family","UC2","1137.42",1217.04,562.25,654.79,"63.84","2464.41",2636.92,1218.21,1418.71,"138.32"
"Texas Humana Health Plan of Texas - High Self Plus One","UC3","1086.8599999999999",1162.95,517.46,645.49,"62.75","2354.86",2519.73,1121.16,1398.57,"135.97"
"Texas Humana Health Plan of Texas - Basic Self","QX1","345.81",377.25,241.58,135.67,"25.63","749.26",817.38,523.42,293.96,"55.54"
"Texas Humana Health Plan of Texas - Basic Self & Family","QX2","778.08",848.81,562.25,286.56,"54.95","1685.84",1839.09,1218.21,620.88,"119.06"
"Texas Humana Health Plan of Texas - Basic Self Plus One","QX3","743.5",811.09,517.46,293.63,"54.25","1610.92",1757.36,1121.16,636.2,"117.54"
"Texas Humana Health Plan of Texas - Standard Self","EW4","385.81",432.11,241.58,190.53,"40.49","835.92",936.24,523.42,412.82,"87.74"
"Texas Humana Health Plan of Texas - Standard Self & Family","EW5","868.07",972.23,562.25,409.98,"88.38","1880.82",2106.5,1218.21,888.29,"191.49"
"Texas Humana Health Plan of Texas - Standard Self Plus One","EW6","829.48",929.02,517.46,411.56,"86.2","1797.21",2012.88,1121.16,891.72,"186.77"
"Texas Humana Health Plan of Texas - High Self","EW1","522.44000000000005",585.15,241.58,343.57,"56.9","1131.95",1267.83,523.42,744.41,"123.3"
"Texas Humana Health Plan of Texas - High Self & Family","EW2","1175.51",1316.58,562.25,754.33,"125.29","2546.94",2852.59,1218.21,1634.38,"271.45999999999998"
"Texas Humana Health Plan of Texas - High Self Plus One","EW3","1123.27",1258.07,517.46,740.61,"121.46","2433.75",2725.82,1121.16,1604.66,"263.17"
"Texas Humana Health Plan of Texas - Basic Self","QY1","351.21",389.84,241.58,148.26,"32.82","760.96",844.65,523.42,321.23,"71.11"
"Texas Humana Health Plan of Texas - Basic Self & Family","QY2","790.21",877.14,562.25,314.89,"71.150000000000006","1712.12",1900.47,1218.21,682.26,"154.16"
"Texas Humana Health Plan of Texas - Basic Self Plus One","QY3","755.1",838.17,517.46,320.71,"69.73","1636.05",1816.04,1121.16,694.88,"151.09"
"Texas Humana Health Plan of Texas - Basic Self","Q21","339.2",362.94,241.58,121.36,"17.93","734.93",786.37,523.42,262.95,"38.86"
"Texas Humana Health Plan of Texas - Basic Self & Family","Q22","763.18",816.61,562.25,254.36,"37.65","1653.56",1769.32,1218.21,551.11,"81.569999999999993"
"Texas Humana Health Plan of Texas - Basic Self Plus One","Q23","729.25",780.29,517.46,262.83,"37.700000000000003","1580.04",1690.63,1121.16,569.47,"81.69"
"Texas Humana Health Plan of Texas - Basic Self","Q61","288.12",322.69,241.58,81.11,"9.08","624.26",699.16,523.42,175.74,"19.68"
"Texas Humana Health Plan of Texas - Basic Self & Family","Q62","648.28",726.08,544.56,181.52,"19.45","1404.61",1573.17,1179.88,393.29,"42.14"
"Texas Humana Health Plan of Texas - Basic Self Plus One","Q63","619.47",693.8,517.46,176.34,"21.47","1342.19",1503.23,1121.16,382.07,"46.52"
"Texas Humana Health Plan of Texas - Standard Self","UU4","766.51",742.24,241.58,500.66,"-30.08","1660.77",1608.19,523.42,1084.77,"-65.16"
"Texas Humana Health Plan of Texas - Standard Self & Family","UU5","1724.64",1670.03,562.25,1107.78,"-70.39","3736.72",3618.4,1218.21,2400.19,"-152.51"
"Texas Humana Health Plan of Texas - Standard Self Plus One","UU6","1647.98",1595.8,517.46,1078.34,"-65.52","3570.62",3457.57,1121.16,2336.41,"-141.94999999999999"
"Texas Humana Health Plan of Texas - High Self","UU1","712.96",748.61,241.58,507.03,"29.84","1544.75",1621.99,523.42,1098.57,"64.66"
"Texas Humana Health Plan of Texas - High Self & Family","UU2","1604.15",1684.35,562.25,1122.1,"64.42","3475.66",3649.43,1218.21,2431.22,"139.58000000000001"
"Texas Humana Health Plan of Texas - High Self Plus One","UU3","1532.86",1609.5,517.46,1092.04,"63.3","3321.2",3487.25,1121.16,2366.09,"137.15"
"Texas Humana Health Plan of Texas - Standard Self","UR4","452.31",493.64,241.58,252.06,"35.520000000000003","980.01",1069.55,523.42,546.13,"76.959999999999994"
"Texas Humana Health Plan of Texas - Standard Self & Family","UR5","1017.69",1110.67,562.25,548.42,"77.2","2205",2406.45,1218.21,1188.24,"167.26"
"Texas Humana Health Plan of Texas - Standard Self Plus One","UR6","972.46",1061.3,517.46,543.84,"75.5","2107",2299.48,1121.16,1178.32,"163.58000000000001"
"Texas Humana Health Plan of Texas - High Self","UR1","637.98",721.73,241.58,480.15,"77.94","1382.29",1563.75,523.42,1040.33,"168.88"
"Texas Humana Health Plan of Texas - High Self & Family","UR2","1435.44",1623.9,562.25,1061.65,"172.68","3110.12",3518.45,1218.21,2300.24,"374.14"
"Texas Humana Health Plan of Texas - High Self Plus One","UR3","1371.65",1551.72,517.46,1034.26,"166.73","2971.91",3362.06,1121.16,2240.9,"361.25"
"Texas Scott and White Health Plan - Basic Self","A81","303.74",270.41,202.81,67.6,"-8.33","658.1",585.89,439.42,146.47,"-18.05"
"Texas Scott and White Health Plan - Basic Self & Family","A82","712.71",634.4,475.8,158.6,"-19.579999999999998","1544.21",1374.53,1030.9,343.63,"-42.42"
"Texas Scott and White Health Plan - Basic Self Plus One","A83","673.33",599.35,449.51,149.84,"-19.37","1458.88",1298.59,973.94,324.65,"-41.97"
"Texas Scott and White Health Plan - Standard Self","A84","362.5",397.49,241.58,155.91,"29.18","785.42",861.23,523.42,337.81,"63.23"
"Texas Scott and White Health Plan - Standard Self & Family","A85","850.84",933.13,562.25,370.88,"66.510000000000005","1843.49",2021.78,1218.21,803.57,"144.1"
"Texas Scott and White Health Plan - Standard Self Plus One","A86","803.81",881.56,517.46,364.1,"64.41","1741.59",1910.05,1121.16,788.89,"139.56"
"Texas Scott and White Health Plan - Basic Self","P81","313.08999999999997",278.74,209.06,69.68,"-8.59","678.36",603.94,452.96,150.98,"-18.61"
"Texas Scott and White Health Plan - Basic Self & Family","P82","734.72",653.98,490.49,163.49,"-24.76","1591.89",1416.96,1062.72,354.24,"-53.63"
"Texas Scott and White Health Plan - Basic Self Plus One","P83","694.12",617.85,463.39,154.46,"-35.54","1503.93",1338.68,1004.01,334.67,"-77"
"Texas Scott and White Health Plan - Standard Self","P84","380.74",446.16,241.58,204.58,"59.61","824.94",966.68,523.42,443.26,"129.16"
